epoch,train_loss,val_f1
1,0.6270184682475196,0.8444444444444444
2,0.6036510666211446,0.8444444444444444
3,0.585338681936264,0.8444444444444444
4,0.5965273612075381,0.8444444444444444
5,0.5776914027002122,0.8444444444444444
6,0.570266842842102,0.8444444444444444
7,0.5639114446110196,0.8444444444444444
8,0.5631710588932037,0.8444444444444444
9,0.5459265973832872,0.8444444444444444
10,0.5416788260142008,0.8444444444444444
11,0.5397777590486739,0.8444444444444444
12,0.5347066521644592,0.8444444444444444
13,0.5322876936859555,0.8444444444444444
14,0.530460430516137,0.8444444444444444
15,0.5234873162375556,0.8444444444444444
16,0.532569083902571,0.8484848484848485
17,0.5456865926583608,0.8444444444444444
18,0.5119938055674235,0.8444444444444444
19,0.53052928381496,0.859375
20,0.5122481849458482,0.8444444444444444
