epoch,train_loss,val_f1
1,0.7247990767161051,0.8444444444444444
2,0.4474964174959395,0.8444444444444444
3,0.24662725627422333,0.7346938775510204
4,0.08274583725465669,0.7422680412371134
5,0.16471816154403818,0.8316831683168316
6,0.13797011888689464,0.8709677419354839
7,0.1147386452390088,0.9152542372881356
8,0.0626583428432544,0.8849557522123894
9,0.020496232124666374,0.8828828828828829
10,0.020649694371968508,0.9230769230769231
11,0.019003961455180414,0.9180327868852459
12,0.03251641182901545,0.9256198347107438
13,0.031217595872779686,0.926829268292683
14,0.025988372275605798,0.890625
15,0.033163824325634375,0.926829268292683
16,0.016505478739014104,0.9411764705882353
17,0.022989149412347212,0.9411764705882353
18,0.027086254623201158,0.9421487603305785
19,0.03083524082062973,0.9217391304347826
20,0.022338919263953965,0.9137931034482759
