epoch,train_loss,val_f1
1,0.6047324538230896,0.0
2,0.5724964340527853,0.0
3,0.43765509128570557,0.8484848484848485
4,0.4124219169219335,0.8235294117647058
5,0.25046660999457043,0.4819277108433735
6,0.16635752220948538,0.7454545454545455
7,0.1204528734087944,0.6736842105263158
8,0.09632496411601703,0.46153846153846156
9,0.06395177667339642,0.6222222222222222
10,0.024714029394090176,0.8455284552845529
11,0.09427333809435368,0.8412698412698413
12,0.023406348734473188,0.8455284552845529
13,0.07437712916483481,0.8666666666666667
14,0.13009834041198096,0.8793103448275862
15,0.047975906170904636,0.831858407079646
16,0.17148477335770926,0.8421052631578947
17,0.12741882354021072,0.8688524590163934
18,0.14903940074145794,0.8617886178861789
19,0.1656471105913321,0.8571428571428571
20,0.18223734200000763,0.8623853211009175
