epoch,train_loss,val_f1
1,0.770816425482432,0.0
2,0.5647861262162527,0.6804123711340206
3,0.4837651716338264,0.6206896551724138
4,0.4737170802222358,0.8363636363636363
5,0.43272696601019967,0.907563025210084
6,0.4308287600676219,0.9122807017543859
7,0.3845360212855869,0.9310344827586207
8,0.390997310479482,0.912
9,0.390875111023585,0.875
10,0.3375953435897827,0.9401709401709402
11,0.3280896378888024,0.9193548387096774
12,0.309670348962148,0.8928571428571429
13,0.2829737381802665,0.9166666666666666
14,0.3033878405888875,0.9322033898305084
15,0.25086185998386806,0.9298245614035088
16,0.2617904626660877,0.8468468468468469
17,0.2407918224732081,0.9122807017543859
18,0.23879151211844551,0.8349514563106796
19,0.21780132833454344,0.9193548387096774
20,0.2408683846394221,0.8807339449541285
