epoch,train_loss,val_f1
1,0.8977882146835328,0.8444444444444444
2,0.45803741216659544,0.8444444444444444
3,0.24343261122703552,0.8444444444444444
4,0.10236207023262978,0.8444444444444444
5,0.09680972620844841,0.8444444444444444
6,0.13860905170440674,0.5411764705882353
7,0.2115589290857315,0.832
8,0.17257754802703856,0.848
9,0.1788399949669838,0.8780487804878049
10,0.10258187949657441,0.8363636363636363
11,0.0567305363714695,0.8333333333333334
12,0.017089194618165493,0.8727272727272727
13,0.009141977643594146,0.8828828828828829
14,0.0025383535074070098,0.8828828828828829
15,0.0020870860840659588,0.8928571428571429
16,0.0011445776850450783,0.8849557522123894
17,0.0005457322520669549,0.8947368421052632
18,0.0016466525237774476,0.8869565217391304
19,0.0004649441398214549,0.8888888888888888
20,0.00037205520493444055,0.8813559322033898
